ABACA, TAREI SULAC BONCA ABACA 
CAUSA, TAREI SULAC APUCA CAUSA 
CAUSE, TAREI SCUMP CAUSE 
CAUTA, TAREI CUTAM ALBUS CAUTA 
CAUTE, TAREI SCUMP CAUTE 
CAUTI, TAREI SULAC ABATA CAUTI 
CAUZA, TAREI SULAC VANZA CAUZA 
CAUZE, TAREI SCUMP CALCA CAUZE 
CAVAF, TAREI SULAC BAZON CAVAF 
CAVAL, TAREI SULAC ABNEG CAVAL 
CAVAS, TAREI SULAC CAFAS CAVAS 
CAVEI, TAREI VOLSC CAVEI 
CAVII, TAREI SPLIN MUCED ABUZA CAVII 
CAVOU, TAREI SULAC VANZA CAVOU 
CAVUL, TAREI SULAC COBUZ ACTIV CAVUL 
CAZAC, TAREI SULAC MIZID CAZAC 
CAZAI, TAREI SPLIN CUBAM ABILA CAZAI 
CAZAM, TAREI SULAC BAZON CAZAM 
CAZAN, TAREI SULAC BAZON CAZAN 
CAZAT, TAREI CUTAM PLANS CAZAT 
CAZAU, TAREI SULAC BAZAM CAZAU 
CAZEZ, TAREI MULSA PFUND BAHIC CAZEZ 
CAZIC, TAREI SUCIM BLANC ABNEG CAZIC 
CAZII, TAREI SPLIN MUCED ABUZA CAZII 
CAZMA, TAREI SULAC ZAMBO CAZMA 
CAZNA, TAREI SULAC ZAMBO CAZNA 
CAZNE, TAREI SCUMP COLNA CAZNE 
CAZNI, TAREI SPLIN MUNCA ABILA CAZNI 
CAZON, TAREI SULAC ZAMBO CAZON 
CAZUI, TAREI SPLIN CUBAM CAZUI 
CAZUL, TAREI SULAC COBUZ CAZUL 
CAZUT, TAREI CUTAM ALBUS CAZUT 
CEAFA, TAREI SLANA CEDEZ ADAPA CEAFA 
CEAIR, TAREI CRILE CEAIR 
CEALA, TAREI SLANA CERGA CEALA 
CEAPA, TAREI SLANA CEDEZ ADAPA CEAPA 
CEARA, TAREI CRASA CEARA 
CEATA, TAREI SEACA CEATA 
CEAUN, TAREI SLANA ABDIC CEAUN 
CEAUS, TAREI SLANA COBUZ CEAUS 
CECAL, TAREI SLANA PECUM AFANA CECAL 
CECEN, TAREI MUSON CECEN 
CECUL, TAREI SONUL CELOM BECHI CECUL 
CECUM, TAREI SONUL APLEC CECUM 
CEDAI, TAREI SENAL CHEAG ABDIC CEDAI 
CEDAM, TAREI SLANA CEDAU CEDAM 
CEDAT, TAREI SEACA ABCES CEDAT 
CEDAU, TAREI SLANA CEDAU 
CEDEZ, TAREI MUSON DALAC CEDEZ 
CEDRI, TAREI EMERS DUNGA CEDRI 
CEDRU, TAREI COMUN ADAPE CEDRU 
CEFAR, TAREI CRASA AFLAI CEFAR 
CEFEI, TAREI SONUL MEDIC AFIPT CEFEI 
CEGAI, TAREI SENAL CHEAG CEGAI 
CEGII, TAREI SECUL CHICA CEGII 
CEHAI, TAREI SENAL CHEAG CEHAI 
CEHEI, TAREI SONUL MEDIC AFIPT CEHEI 
CEHII, TAREI SECUL CHICA CEHII 
CEHUL, TAREI SONUL CELOM BECHI CEHUL 
CELAR, TAREI CRASA AFLAI CELAR 
CELEA, TAREI LOCUS ABACA CELEA 
CELEI, TAREI SONUL LEZAM CAVAF CELEI 
CELLA, TAREI SLANA ABURC CELLA 
CELLE, TAREI SONUL VECHE CELLE 
CELLO, TAREI SONUL DEJOC CELLO 
CELOM, TAREI SONUL DEJOC CELOM 
CELOR, TAREI COMUN ACELA CELOR 
CELTA, TAREI SEACA CELTA 
CELTE, TAREI SOPUL CALFE CELTE 
CELTI, TAREI LENTO CELTI 
CELUI, TAREI SECUL CELUI 
CENTI, TAREI LENTO GOPAC CENTI 
CENUR, TAREI COMUN CENUR 
CEPAI, TAREI SENAL CHEAG ABDIC CEPAI 
CEPCI, TAREI SECUL CHICA CEPCI 
CEPEI, TAREI SONUL MEDIC AFIPT CEPEI 
CEPSE, TAREI SONUL ABACA CEPSE 
CEPTE, TAREI SOPUL CEPTE 
CEPUI, TAREI SECUL CEPUI 
CEPUL, TAREI SONUL CELOM BECHI CEPUL 
CERAT, TAREI ABRAC CERAT 
CERBI, TAREI SUCIM BANCA CERBI 
CERCA, TAREI SMUGA BLANC CERCA 
CERCE, TAREI MUCOS ABACA CERCE 
CERCI, TAREI SUCIM BANCA CERCI 
CEREA, TAREI CONDU CEREA 
CEREM, TAREI MUCOS CEREM 
CERGA, TAREI SMUGA ABACA CERGA 
CERGI, TAREI SUCIM BANCA CERGI 
CERII, TAREI SUCIM CERII 
CERIT, TAREI CETIM CERIT 
CERIU, TAREI SCUFE CERIU 
CERNE, TAREI MUCOS ABACA CERNE 
CERNI, TAREI SUCIM BANCA CERNI 
CERNU, TAREI MUCOS ADVON CERNU 
CEROS, TAREI MUCOS CEROS 
CERSI, TAREI SUCIM CERSI 
CERTA, TAREI ABRAC CERTA 
CERTE, TAREI COBUZ CERTE 
CERTI, TAREI ABACA CERTI 
CERUI, TAREI SUCIM CERUI 
CERUL, TAREI MUCOS ADVON CERUL 
CERUT, TAREI COBUZ CERUT 
CERVU, TAREI MUCOS ADVON CERVU 
CESIU, TAREI MULSE ABACA CESIU 
CESTA, TAREI SEACA CESTA 
CESTE, TAREI SOPUL ADANC CESTE 
CESTI, TAREI LENTO CUPID CESTI 
CETAS, TAREI SEACA CETAS 
CETEA, TAREI BUCSA ABOLI CETEA 
CETEI, TAREI SIFON GECKO CETEI 
CETER, TAREI RETUS CETER 
CETET, TAREI COMUT CETET 
CETII, TAREI LENTO ABDIC CETII 
CETIM, TAREI SILIM AFECT CETIM 
CETIT, TAREI SILIM DUTCE ADEPT CETIT 
CETOS, TAREI SOPUL BETON CETOS 
CEUCA, TAREI SLANA PECUM ABACA CEUCA 
CEUCE, TAREI SONUL DUCEM CEUCE 
CEUCI, TAREI SECUL ABACA CEUCI 
CEZAR, TAREI CRASA AFLAI CEZAR 
CHEAG, TAREI SLANA CEDAU CHEAG 
CHEIA, TAREI SLICE ADEPT CHEIA 
CHEIE, TAREI MULSE NOCIV CHEIE 
CHEII, TAREI SECUL CAPON ABDIC CHEII 
CHELE, TAREI SONUL VECHE CHELE 
CHELI, TAREI SECUL ALOCA CHELI 
CHEMA, TAREI SLANA PECUM CHEMA 
CHEME, TAREI SONUL CHIBZ CHEME 
CHEMI, TAREI SECUL CAPON ABDIC CHEMI 
CHERA, TAREI CRASA CHERA 
CHERE, TAREI COMUN ADESE CHERE 
CHETA, TAREI SEACA CHETA 
CHETE, TAREI SOPUL BECHI CHETE 
CHEUL, TAREI SONUL CELOM CHEUL 
CHIAR, TAREI URICA CHIAR 
CHIAU, TAREI MILAN BUHOS CHIAU 
CHIBZ, TAREI COLUN AFIPT CHIBZ 
CHICA, TAREI MILAN SODIC GUBAV CHICA 
CHICI, TAREI SOCUL CINEZ CHICI 
CHIDA, TAREI MILAN SODIC ACAJU CHIDA 
CHIDE, TAREI MULSE NOCIV DIEZA CHIDE 
CHILA, TAREI MILAN ALOCA ABALE CHILA 
CHILE, TAREI MULSE VOIND EPICA CHILE 
CHIOR, TAREI UNDOS VIPLA CHIOR 
CHIOT, TAREI SOCUL FENIC CHIOT 
CHIPS, TAREI COLUN AFIPT CHIPS 
CHIRA, TAREI URICA ABACA CHIRA 
CHIRE, TAREI VUIRE BALOS CHIRE 
CHIST, TAREI SOCUL CHIST 
CHITA, TAREI SUINA ALCOV CHITA 
CHITE, TAREI SILIM CUPON CHITE 
CHITI, TAREI COSUL ABATA CHITI 
CHIUI, TAREI SOCUL CHIUI 
CHIUL, TAREI COLUN AUIAI CHIUL 
CHIUP, TAREI COLUN CHIUP 
CHULO, TAREI BOLUS CAPON CHULO 
CICAR, TAREI URICA CALOS CICAR 
CICLI, TAREI SOCUL CICLI 
CICLU, TAREI COLUN CICLU 
CIDRU, TAREI UNDOS ACLAM CIDRU 
CIFRA, TAREI URICA ABCES CIFRA 
CIFRE, TAREI VUIRE FEELE CIFRE 
CIFRU, TAREI UNDOS FAGUL CIFRU 
CIGEI, TAREI SONUL MEDIC ABNEG CIGEI 
CIHAI, TAREI SULAC PICNI CIHAI 
CILEN, TAREI SINUL ACLAM CILEN 
CILII, TAREI SOCUL CINCI CILII 
CILUL, TAREI COLUN CILUL 
CIMEI, TAREI SONUL MEDIC CIMEI 
CIMEN, TAREI SINUL ABACA CIMEN 
CINAI, TAREI SULAC PICNI CINAI 
CINAM, TAREI MILAN ABDIC CINAM 
CINAS, TAREI MILAN ABCES CINAS 
CINAT, TAREI SUINA INCAP CINAT 
CINAU, TAREI MILAN ABCES CINAU 
CINCI, TAREI SOCUL CINEZ CINCI 
CINEI, TAREI SONUL DEGAJ CAVAF CINEI 
CINEL, TAREI SINUL CINEL 
CINEZ, TAREI SINUL ACUZE CINEZ 
CINIC, TAREI COLUN CINIC 
CINUL, TAREI COLUN CINUL 
CIOBI, TAREI SOCUL ABDIC CIOBI 
CIOMP, TAREI COLUN CIOMP 
CIONC, TAREI COLUN CIONC 
CIONT, TAREI SOCUL FENIC CIONT 
CIORI, TAREI OCURS ABDIC CIORI 
CIORT, TAREI ROSIT CIORT 
CIPCA, TAREI MILAN CUPID CIPCA 
CIPCI, TAREI SOCUL CINEZ CIPCI 
CIPIC, TAREI COLUN AFIPT CIPIC 
CIPUL, TAREI COLUN AUIAI CIPUL 
CIRAC, TAREI MUSCA CIRAC 
CIRCA, TAREI MUSCA CIRCA 
CIRCE, TAREI SCUFE CIRCE 
CIRCI, TAREI COBIM ADUCA CIRCI 
CIRES, TAREI SCUMP CIRES 
CIRII, TAREI COBIM ABATU CIRII 
CIRIP, TAREI MUCOS ABALE CIRIP 
CIRIS, TAREI MUCOS ACAJU CIRIS 
CIRTA, TAREI CULMA CIRTA 
CIRTE, TAREI CETIM CIRTE 
CIRUL, TAREI MUCOS CIRUL 
CIRUS, TAREI MUCOS CIRUS 
CISLA, TAREI MILAN SCALD CISLA 
CISLE, TAREI MULSE LEICA CISLE 
CISTA, TAREI SUINA ALPIN CISTA 
CISTE, TAREI SILIM ACONT CISTE 
CITAI, TAREI COTUL CITAI 
CITAM, TAREI SUINA PICOL ACANT CITAM 
CITAT, TAREI SUINA PICOL ACANT CITAT 
CITAU, TAREI SUINA UIMIT CITAU 
CITEA, TAREI CIUMP CITEA 
CITET, TAREI INSUL ACCIZ CITET 
CITEZ, TAREI INSUL ACCIZ CITEZ 
CITII, TAREI COSUL ABATA CITII 
CITIM, TAREI SOCUL CATAM CITIM 
CITIT, TAREI SOCUL CATAM CITIT 
CITRO, TAREI ROSIT ACANA CITRO 
CITUL, TAREI SOCUL CITUL 
CIUCI, TAREI SOCUL PUIND BIFEZ CIUCI 
CIUDA, TAREI MILAN CUPID CIUDA 
CIUDE, TAREI MULSE DIOIC CIUDE 
CIUDI, TAREI SOCUL PUIND CIUDI 
CIUFI, TAREI SOCUL PUIND BIFEZ CIUFI 
CIUIN, TAREI COLUN ABURC CIUIN 
CIULA, TAREI MILAN SCALD CIULA 
CIULE, TAREI MULSE ABDIC CIULE 
CIULI, TAREI SOCUL BULCA CIULI 
CIUMA, TAREI MILAN SUDIC CIUMA 
CIUME, TAREI MULSE ACANA CIUME 
CIUMP, TAREI COLUN AMPLU CIUMP 
CIUNG, TAREI COLUN CIUNG 
CIUNT, TAREI SOCUL BATIC CIUNT 
CIUPA, TAREI MILAN CUPID CIUPA 
CIUPE, TAREI MULSE DIOIC CIUPE 
CIUPI, TAREI SOCUL PUIND CIUPI 
CIUTA, TAREI SUINA ABACA CIUTA 
CIUTE, TAREI SILIM BUNDE ABURC CIUTE 
CIUTI, TAREI COSUL ABATA CIUTI 
CIVIC, TAREI COLUN AFIPT CIVIC 
CIVIL, TAREI COLUN ABCES CIVIL 
CIVIT, TAREI SOCUL CATAM CIVIT 
CIZMA, TAREI MILAN SUDIC CIZMA 
CIZME, TAREI MULSE ZIDII ABACA CIZME 
CLACA, TAREI SULAC COPCA CLACA 
CLACI, TAREI SULAC COACA CLACI 
CLADA, TAREI SULAC COPCA ABDIC CLADA 
CLADE, TAREI SLANA APUCA ABDIC CLADE 
CLADI, TAREI SULAC COACA ABDIC CLADI 
CLAIA, TAREI MILAN ALOCA APASA CLAIA 
CLAIE, TAREI SLICE CLAIE 
CLAII, TAREI SULAC COACA ABDIC CLAII 
CLAIM, TAREI MILAN BOACA CLAIM 
CLAIT, TAREI SUINA PICOL CLAIT 
CLAMA, TAREI SULAC COPCA ABDIC CLAMA 
CLAME, TAREI SLANA APUCA ABDIC CLAME 
CLAMP, TAREI SULAC COPCA CLAMP 
CLANC, TAREI SULAC BUFAN CLANC 
CLANT, TAREI SULAC ABACA CLANT 
CLAPA, TAREI SULAC COPCA CLAPA 
CLAPC, TAREI SULAC BUFAN CLAPC 
CLAPE, TAREI SLANA APUCA CLAPE 
CLARA, TAREI SUCNA CLAMP CLARA 
CLARE, TAREI CRASA CLARE 
CLARI, TAREI ABURC ABOLI CLARI 
CLASA, TAREI SULAC CLASA 
CLASE, TAREI SLANA ABACA CLASE 
CLATI, TAREI COTUL CLATI 
CLAUN, TAREI SULAC ABACA CLAUN 
CLAZI, TAREI SULAC COACA ABDIC CLAZI 
CLEAN, TAREI SLANA ABACA CLEAN 
CLEMA, TAREI SLANA AMPLU CLEMA 
CLEME, TAREI SONUL VECHE ABACA CLEME 
CLENI, TAREI SECUL ALOCA CLENI 
CLICA, TAREI MILAN ALOCA ADAPA CLICA 
CLICI, TAREI SOCUL CINCI CLICI 
CLIMA, TAREI MILAN BOACA CLIMA 
CLIME, TAREI MULSE ABILA CLIME 
CLINA, TAREI MILAN ABACA CLINA 
CLINC, TAREI COLUN ABDIC CLINC 
CLINE, TAREI MULSE VOIND APLEC CLINE 
CLING, TAREI COLUN ABDIC CLING 
CLINI, TAREI SOCUL CINCI CLINI 
CLINT, TAREI SOCUL ABDIC CLINT 
CLIPA, TAREI MILAN ALOCA APASA CLIPA 
CLIPE, TAREI MULSE VOIND EPICA CLIPE 
CLIPI, TAREI SOCUL CINCI CLIPI 
CLIPS, TAREI COLUN ABCES CLIPS 
CLISA, TAREI MILAN ALOCA APASA CLISA 
CLISE, TAREI MULSE ACINE CLISE 
CLIVA, TAREI MILAN ALOCA APASA CLIVA 
CLOCA, TAREI SULAC COPCA CLOCA 
CLOCI, TAREI SOCUL AFECT CLOCI 
CLOMB, TAREI BOLUS CLOMB 
CLONA, TAREI SULAC COPCA CLONA 
CLONC, TAREI BOLUS ADVON CLONC 
CLONE, TAREI SONUL ACLAM CLONE 
CLONT, TAREI LOCUS CLONT 
CLOTA, TAREI SULAC ABACA CLOTA 
CLOTE, TAREI SOPUL CELTE CLOTE 
CLOVN, TAREI BOLUS ADVON CLOVN 
CLOWN, TAREI BOLUS ADVON CLOWN 
CLUPA, TAREI SULAC ABACA CLUPA 
CLUPE, TAREI SONUL CULME CLUPE 
CLUUL, TAREI BOLUS PFUND CLUUL 
CNEAZ, TAREI SLANA PECUM ABOLI CNEAZ 
CNEJI, TAREI SECUL CAPON ABJUR CNEJI 
CNEZI, TAREI SECUL CAPON ABJUR CNEZI 
COACA, TAREI SULAC BONCA CLAIM COACA 
COACE, TAREI SLANA CIOMP ADECA COACE 
COADA, TAREI SULAC BONCA DIJMA COADA 
COADE, TAREI SLANA CIOMP ADECA COADE 
COAFA, TAREI SULAC BONCA DIJMA COAFA 
COAFE, TAREI SLANA CIOMP ADECA COAFE 
COAJA, TAREI SULAC BONCA DIJMA COAJA 
COALA, TAREI SULAC COPCA COALA 
COALE, TAREI SLANA COBUZ COALE 
COAMA, TAREI SULAC BONCA DIJMA COAMA 
COAME, TAREI SLANA CIOMP COAME 
COANA, TAREI SULAC BONCA COANA 
COANE, TAREI SLANA ACUMA COANE 
COASA, TAREI SULAC ABACA COASA 
COASE, TAREI SLANA COBUZ COASE 
COATE, TAREI SEACA ABACA COATE 
COBAI, TAREI SULAC PICNI ABACA COBAI 
COBEA, TAREI LOCUS ABDIC COBEA 
COBEI, TAREI SONUL MEDIC AFIXE COBEI 
COBII, TAREI SOCUL PODIM ABJUR COBII 
COBIM, TAREI COLUN ADMIS ABACA COBIM 
COBIT, TAREI SOCUL METOD ABJUR COBIT 
COBOL, TAREI BOLUS ABACA COBOL 
COBOR, TAREI MOSUC ALCOV COBOR 
COBRA, TAREI SUCNA CLAMP ABACA COBRA 
COBRE, TAREI COMUN ABACA COBRE 
COBUR, TAREI MOSUC ABACA COBUR 
COBUZ, TAREI BOLUS COBUZ 
COBZA, TAREI SULAC BONCA COBZA 
COBZE, TAREI SONUL BLIMP COBZE 
COCAI, TAREI SULAC PICNI ACLAM COCAI 
COCEA, TAREI LOCUS BLIMP ACTIV COCEA 
COCIA, TAREI MILAN SODIC ALPIN COCIA 
COCIE, TAREI MULSE NOCIV ADAPA COCIE 
COCII, TAREI SOCUL COBIM COCII 
COCIS, TAREI COLUN ADMIS COCIS 
COCLI, TAREI SOCUL ABALE COCLI 
COCON, TAREI BOLUS GENOM ABACA COCON 
COCOR, TAREI MOSUC ALCOV COCOR 
COCOS, TAREI BOLUS CADEM COCOS 
COCOT, TAREI LOCUS ABJUR COCOT 
COCUL, TAREI BOLUS COMOD INCAP COCUL 
CODAI, TAREI SULAC PICNI ABACA CODAI 
CODAJ, TAREI SULAC BANIM CODAJ 
CODAL, TAREI SULAC PFUND CODAL 
CODAM, TAREI SULAC BANIM CODAM 
CODAN, TAREI SULAC BANIM ABDIC CODAN 
CODAS, TAREI SULAC BOIND CODAS 
CODAT, TAREI SULAC ADMIT CODAT 
CODAU, TAREI SULAC CODAU 
CODEA, TAREI LOCUS ABDIC CODEA 
CODEI, TAREI SONUL MEDIC CODEI 
CODEX, TAREI MUSON BAZAL CODEX 
CODEZ, TAREI MUSON BAZAL ABACA CODEZ 
CODIA, TAREI MILAN SODIC CODIA 
CODIE, TAREI MULSE NOCIV ABDIC CODIE 
CODII, TAREI SOCUL PODIM CODII 
CODIM, TAREI COLUN ADMIS CODIM 
CODIT, TAREI SOCUL METOD CODIT 
CODOS, TAREI BOLUS CADEM CODOS 
CODRI, TAREI OCURS ABDIC CODRI 
CODRU, TAREI MOSUC ABDIC CODRU 
CODUL, TAREI BOLUS COMOD CODUL 
COFEI, TAREI SONUL MEDIC AFIXE COFEI 
COFRA, TAREI SUCNA CLAMP ABACA COFRA 
COIOT, TAREI SOCUL METOD COIOT 
COJEA, TAREI LOCUS ABDIC COJEA 
COJII, TAREI SOCUL PODIM ABJUR COJII 
COJIM, TAREI COLUN ADMIS ABACA COJIM 
COJIT, TAREI SOCUL METOD ABJUR COJIT 
COJOC, TAREI BOLUS GENOM ACHII COJOC 
COLAC, TAREI SULAC COLAC 
COLAI, TAREI SULAC COLAI 
COLAJ, TAREI SULAC AJUNA COLAJ 
COLAM, TAREI SULAC AJUNA COLAM 
COLAN, TAREI SULAC AJUNA COLAN 
COLAT, TAREI SULAC COLAT 
COLAU, TAREI SULAC COLAU 
COLEA, TAREI LOCUS COLEA 
COLEG, TAREI MUSON BAZAL COLEG 
COLEI, TAREI SONUL IMPAC ABCES COLEI 
COLET, TAREI COMUT ABTIN COLET 
COLEZ, TAREI MUSON BAZAL ABACA COLEZ 
COLIA, TAREI MILAN OFUSC COLIA 
COLIC, TAREI COLUN COLIC 
COLIE, TAREI MULSE DIHOC COLIE 
COLII, TAREI SOCUL ACHII COLII 
COLIN, TAREI COLUN COLIN 
COLIR, TAREI UNDOS BOCIM COLIR 
COLNA, TAREI SULAC ALPIN COLNA 
COLNE, TAREI SONUL COLNE 
COLON, TAREI BOLUS AMVON ABACA COLON 
COLOR, TAREI MOSUC ALCOV COLOR 
COLOS, TAREI BOLUS CAMPA COLOS 
COLTI, TAREI COSUL COLTI 
COLUL, TAREI BOLUS CADEM ABNEG COLUL 
COLUN, TAREI BOLUS CADEM ABNEG COLUN 
COMAT, TAREI SULAC ADMIT COMAT 
COMBI, TAREI SOCUL PODIM COMBI 
COMBO, TAREI BOLUS ACANA COMBO 
COMEI, TAREI SONUL MEDIC COMEI 
COMET, TAREI COMUT COMET 
COMIC, TAREI COLUN ADMIS COMIC 
COMIS, TAREI COLUN ADMIS COMIS 
COMIT, TAREI SOCUL METOD COMIT 
COMOD, TAREI BOLUS GENOM ABDIC COMOD 
COMOR, TAREI MOSUC COMOR 
COMUN, TAREI BOLUS COMUN 
COMUT, TAREI LOCUS COMUT 
CONAC, TAREI SULAC PUNGA ACLAM CONAC 
CONAS, TAREI SULAC BOIND CONAS 
CONCA, TAREI SULAC BONCA ABJUR CONCA 
CONCI, TAREI SOCUL PODIM ABJUR CONCI 
CONDU, TAREI BOLUS AFUND CONDU 
CONET, TAREI COMUT ABTIN CONET 
CONEX, TAREI MUSON CUPID CONEX 
CONGA, TAREI SULAC BONCA CONGA 
CONIC, TAREI COLUN CONIC 
CONTA, TAREI SULAC COPCA CONTA 
CONTE, TAREI SOPUL CAFTI CONTE 
CONTI, TAREI COSUL ALPIN CONTI 
CONUL, TAREI BOLUS COMOD INCAP CONUL 
COPAC, TAREI SULAC PUNGA COPAC 
COPAI, TAREI SULAC PICNI COPAI 
COPAL, TAREI SULAC PFUND COPAL 
COPAN, TAREI SULAC BANIM ABDIC COPAN 
COPCA, TAREI SULAC BONCA CLAIM COPCA 
COPCE, TAREI SONUL BLIMP COPCE 
COPCI, TAREI SOCUL PODIM ABACA COPCI 
COPIA, TAREI MILAN SODIC ALPIN COPIA 
COPIE, TAREI MULSE NOCIV ABDIC COPIE 
COPII, TAREI SOCUL PODIM COPII 
COPIL, TAREI COLUN COPIL 
COPOI, TAREI SOCUL PODIM ABACA COPOI 
COPRA, TAREI SUCNA CLAMP COPRA 
COPRE, TAREI COMUN ABACA COPRE 
COPTA, TAREI SULAC COPCA COPTA 
COPTE, TAREI SOPUL COPTE 
COPTI, TAREI COSUL ALPIN COPTI 
COPUL, TAREI BOLUS COMOD INCAP COPUL 
CORAC, TAREI CUBAM BLANC CORAC 
CORAI, TAREI BIFAU ACANA CORAI 
CORAJ, TAREI CUBAM BLANC CORAJ 
CORAL, TAREI CUBAM BLANC CORAL 
CORAN, TAREI CUBAM BLANC CORAN 
CORBI, TAREI COBIM CORBI 
CORCI, TAREI COBIM LAPON ABACA CORCI 
COREE, TAREI MUCOS COREE 
COREI, TAREI MOSUC COREI 
CORET, TAREI BUHOS CORET 
COREU, TAREI MUCOS COREU 
CORFA, TAREI CUBAM ABALE CORFA 
CORFE, TAREI MUCOS ABALE CORFE 
CORII, TAREI COBIM CORII 
CORLA, TAREI CUBAM ABALE CORLA 
CORLE, TAREI MUCOS ABALE CORLE 
CORLI, TAREI COBIM LAPON CORLI 
CORNI, TAREI COBIM LAPON CORNI 
COROI, TAREI COBIM LAPON COROI 
CORPI, TAREI COBIM LAPON CORPI 
CORSO, TAREI COMUN CORSO 
CORUL, TAREI COMUN ABALE CORUL 
CORUP, TAREI COMUN ABALE CORUP 
CORZI, TAREI COBIM LAPON ABACA CORZI 
COSAC, TAREI SULAC ADAPA COSAC 
COSAR, TAREI SUCNA ABACA COSAR 
COSAS, TAREI SULAC BOIND COSAS 
COSEA, TAREI LOCUS COSEA 
COSEI, TAREI SONUL ABACA COSEI 
COSII, TAREI SOCUL ABDIC COSII 
COSIM, TAREI COLUN ADMIS COSIM 
COSIT, TAREI SOCUL ABCES COSIT 
COSOI, TAREI SOCUL ABDIC COSOI 
COSOR, TAREI MOSUC COSOR 
COSTA, TAREI SULAC COSTA 
COSTE, TAREI SOPUL ABACA COSTE 
COSUL, TAREI BOLUS SCUMP COSUL 
COTAI, TAREI COTUL COTAI 
COTAM, TAREI SULAC ADMIT COTAM 
COTAR, TAREI CROAT COTAR 
COTAT, TAREI SULAC ADMIT COTAT 
COTAU, TAREI SULAC COTAU 
COTCA, TAREI SULAC COPCA COTCA 
COTCE, TAREI SOPUL CAFTI COTCE 
COTCI, TAREI COSUL ALPIN ABACA COTCI 
COTEA, TAREI BUCSA ABOLI COTEA 
COTEI, TAREI SIFON ABDIC COTEI 
COTET, TAREI COMUT ABTIN COTET 
COTEZ, TAREI COMUT COTEZ 
COTII, TAREI COSUL ALPIN COTII 
COTIL, TAREI SOCUL COTIL 
COTIM, TAREI SOCUL METOD COTIM 
COTIS, TAREI SOCUL ABCES COTIS 
COTIT, TAREI SOCUL METOD ABDIC COTIT 
COTOC, TAREI LOCUS AMANA COTOC 
COTOI, TAREI COSUL ALPIN ABACA COTOI 
COTON, TAREI LOCUS AMANA COTON 
COTOR, TAREI SOCUL COTOR 
COTUL, TAREI LOCUS COTUL 
COVIT, TAREI SOCUL METOD ABJUR COVIT 
COVOR, TAREI MOSUC ALCOV COVOR 
COVRU, TAREI MOSUC ABDIC COVRU 
COXAL, TAREI SULAC PFUND LIBOV COXAL 
COXEI, TAREI SONUL MEDIC AFIXE COXEI 
COZII, TAREI SOCUL PODIM ABJUR COZII 
COZUL, TAREI BOLUS COMOD INCAP COZUL 
CRABI, TAREI ABURC ABACA CRABI 
CRACA, TAREI SUCNA CLAMP ABACA CRACA 
CRACI, TAREI ABURC PODIS ACTIV CRACI 
CRAIA, TAREI URICA ABACA CRAIA 
CRAIE, TAREI CRILE CRAIE 
CRAII, TAREI ABURC PODIS CRAII 
CRAMA, TAREI SUCNA CLAMP CRAMA 
CRAME, TAREI CRASA IMPUN CRAME 
CRANE, TAREI CRASA IMPUN CRANE 
CRANG, TAREI SUCNA ABDIC CRANG 
CRANT, TAREI CROAT CRANT 
CRAPA, TAREI SUCNA CLAMP CRAPA 
CRAPE, TAREI CRASA IMPUN CRAPE 
CRAPI, TAREI ABURC PODIS CRAPI 
CRASA, TAREI SUCNA ABACA CRASA 
CRASC, TAREI SUCNA ABACA CRASC 
CRASE, TAREI CRASA CRASE 
CRASI, TAREI ABURC PODIS CRASI 
CRAUL, TAREI SUCNA ABACA CRAUL 
CRAUN, TAREI SUCNA CRAUN 
CRAZA, TAREI SUCNA CLAMP ABACA CRAZA 
CRAZE, TAREI CRASA IMPUN CRAZE 
CREAI, TAREI ADECA CREAI 
CREAM, TAREI CRASA ABATU CREAM 
CREAT, TAREI ARATA ACCIZ CREAT 
CREAU, TAREI CRASA ABATU CREAU 
CREDE, TAREI COMUN ADESE CREDE 
CREDO, TAREI COMUN ACELA CREDO 
CREEK, TAREI ROCUL ACCIZ CREEK 
CREEZ, TAREI ROCUL ACCIZ CREEZ 
CREMA, TAREI CRASA CREMA 
CREME, TAREI COMUN CREME 
CREOL, TAREI COMUN ACELA CREOL 
CREPS, TAREI COMUN ADESE CREPS 
CRESA, TAREI CRASA CRESA 
CRESC, TAREI COMUN ADESE CRESC 
CRESE, TAREI COMUN ADESE CRESE 
CRETA, TAREI ARATA AFECT CRETA 
CRETE, TAREI RUSCE CRETE 
CRETI, TAREI EMERG ABACA CRETI 
CREZI, TAREI EMERS GOTIC ABACA CREZI 
CREZU, TAREI COMUN ADAPE CREZU 
CRIDA, TAREI URICA DALMA CRIDA 
CRIDE, TAREI VUIRE CLOMB ABDIC CRIDE 
CRIER, TAREI PLIMB CUCOR CRIER 
CRILA, TAREI URICA DALMA CRILA 
CRILE, TAREI VUIRE CLOMB CRILE 
CRIMA, TAREI URICA DALMA CRIMA 
CRIME, TAREI VUIRE CLOMB CRIME 
CRINI, TAREI OCURS BUFAN CRINI 
CRITA, TAREI ISTIA ABACA CRITA 
CRITE, TAREI MITRE ACOLO CRITE 
CRIZA, TAREI URICA DALMA CRIZA 
CRIZE, TAREI VUIRE CLOMB ABDIC CRIZE 
CROAT, TAREI CROAT 
CROIA, TAREI URICA ABACA CROIA 
CROII, TAREI OCURS ACCIZ CROII 
CROIM, TAREI UNDOS BOCIM CROIM 
CROIT, TAREI ROSIT ABACA CROIT 
CROMA, TAREI SUCNA CLAMP CROMA 
CROMO, TAREI MOSUC CROMO 
